Gene,WT q-value,WT log2 fold change,KRas mutant q-value,KRas mutant log2 fold change,Synthetic Lethal Score
LYVE1,0.999996,-0.221118298,0.999998,-0.643021564,0.421903267
USP37,0.999996,-0.447419031,0.999998,-0.86928797,0.421868939
LARP1,0.999996,-1.120576527,0.999998,-1.542234457,0.42165793
GPATCH8,0.999996,0.015059983,0.999998,-0.406576762,0.421636745
LIMS3,0.599228,-0.452078601,0.277231,-0.873533405,0.421454804
NARF,0.999996,-2.034208264,0.999998,-2.455196551,0.420988286
KIAA0226,0.704774,-1.596946673,0.819005,-2.017762714,0.420816041
ACTRT1,0.999996,0.048431818,0.999998,-0.3723723,0.420804118
SIX3,0.999996,0.18439623,0.999998,-0.236326004,0.420722234
TUBB1,0.999996,-1.370580706,0.999998,-1.791212568,0.420631862
UBE2V2,0.999996,-0.389652656,0.999998,-0.810230649,0.420577993
FMNL1,0.999996,-0.336560521,0.999998,-0.756923384,0.420362862
ZKSCAN1,0.999996,-0.14770619,0.999998,-0.568027731,0.420321541
CDR2L,0.999996,-0.745851298,0.955344,-1.16599436,0.420143062
CA5A,0.973264,-0.354342832,0.425365,-0.774374345,0.420031513
POMT1,0.955603,-0.016938575,0.999998,-0.436954029,0.420015453
PEX26,0.999996,0.476682571,0.601835,0.056850871,0.4198317
FRAT1,0.749385,-0.661884297,0.356151,-1.081614722,0.419730425
B3GALT6,0.955268,-0.463504379,0.711228,-0.883070005,0.419565625
MRPL24,0.232748,-1.177714447,0.262912,-1.597278701,0.419564254
PCK2,0.801888,-0.594811617,0.62548,-1.014373249,0.419561632
SMIM1,0.247893,-0.658121033,0.220773,-1.077676661,0.419555628
GABRB3,0.999996,0.568528404,0.999998,0.148992493,0.419535911
MAGEA11,0.999996,0.754094246,0.999998,0.334578818,0.419515428
C3orf17,0.020541,-1.90635404,0.017479,-2.325710323,0.419356283
PDCD1LG2,0.999996,-2.125053843,0.999998,-2.544352776,0.419298933
ATG5,0.999996,0.229121039,0.999998,-0.190046782,0.419167821
MET,0.999996,-0.232573263,0.999998,-0.651737445,0.419164182
ATXN7,0.999996,0.076372222,0.999998,-0.342664821,0.419037043
KIF12,0.999996,-0.460424582,0.999998,-0.879209428,0.418784847
SRSF3,0.16388,-1.143217422,0.193482,-1.561907585,0.418690162
LCK,0.999996,0.247032262,0.999998,-0.171624197,0.418656459
SASS6,0.999996,-0.130029195,0.990522,-0.548588544,0.418559349
PDP2,0.999996,-1.312229722,0.999998,-1.73069403,0.418464308
DPP9,0.999996,-0.163825211,0.999998,-0.58225917,0.418433959
KBTBD8,0.999996,0.449570834,0.999998,0.031321056,0.418249778
THRSP,0.999996,-0.381142616,0.840362,-0.799139091,0.417996475
UTP20,0.315154,-1.375530253,0.588858,-1.793490646,0.417960393
RPL23A,0.195582,-4.185541284,0.276077,-4.603387833,0.417846549
CTDNEP1,0.999996,0.208943247,0.933098,-0.20889076,0.417834007
PYROXD2,0.511278,-0.63310884,0.286232,-1.050713201,0.417604361
CLRN1,0.999996,0.22467534,0.999998,-0.192817351,0.417492691
SPATA31A7,0.701651,-0.847173694,0.655623,-1.264571403,0.417397709
TOM1,0.999996,0.41390996,0.999998,-0.003347555,0.417257515
NAV3,0.999996,-0.680707765,0.999998,-1.097796527,0.417088762
TMEM213,0.999996,-0.474135649,0.999998,-0.891173851,0.417038203
AQR,0.117515,-3.053548912,0.14047,-3.470500962,0.41695205
FTH1,0.494327,-0.979926992,0.394675,-1.39687205,0.416945059
CASZ1,0.763125,-1.146258983,0.426209,-1.563195427,0.416936444
CTTN,0.459632,-1.044541649,0.434671,-1.461350305,0.416808656
TANGO2,0.999996,-0.106928703,0.614114,-0.523581143,0.41665244
STXBP3,0.999996,0.10581339,0.999998,-0.310687923,0.416501312
FASLG,0.189572,-1.38856812,0.38798,-1.804957348,0.416389228
WDR83OS,0.999996,-2.454415062,0.999998,-2.870768554,0.416353491
ZC3H3,0.130349,-1.14643519,0.073297,-1.5627845,0.416349309
HIST1H3D,0.653257,-0.517582719,0.665676,-0.933902739,0.41632002
SPECC1,0.999996,0.298281186,0.999998,-0.117957367,0.416238553
SPANXC,0.999996,0.216242717,0.999998,-0.199827124,0.416069841
BHLHE22,0.49595,-0.933168398,0.673458,-1.349187048,0.41601865
TMLHE,0.999996,0.522393185,0.999998,0.10650668,0.415886505
TTC3,0.999996,0.316596166,0.999998,-0.099093966,0.415690132
TTF2,0.45361,-0.402171194,0.408074,-0.817855176,0.415683983
SEC61A2,0.999996,-0.033907039,0.999998,-0.449548511,0.415641472
CRLF1,0.142146,-1.290143653,0.086185,-1.705766742,0.415623089
NFIA,0.999996,-0.169991052,0.999998,-0.585526662,0.415535609
C6orf132,0.583683,-1.622531853,0.516296,-2.038027949,0.415496095
TMEM86A,0.999996,0.460305423,0.999998,0.044851707,0.415453716
USH1G,0.139649,0.285043737,0.545409,-0.130379218,0.415422955
ATP11A,0.999996,0.305806658,0.999998,-0.109304706,0.415111364
RAPSN,0.999996,0.174315013,0.999998,-0.240707397,0.415022409
TMEM119,0.479552,-0.638124638,0.626674,-1.053027597,0.414902959
MBD3L3,0.041803,-0.867121125,0.08293,-1.282013886,0.414892761
TSPAN9,0.999996,0.471249051,0.999998,0.056421709,0.414827342
PARVB,0.999996,0.113862707,0.999998,-0.300954403,0.41481711
MYO5B,0.999996,-0.161635935,0.999998,-0.576391117,0.414755182
HAT1,0.999996,0.335294441,0.999998,-0.079326444,0.414620885
ART1,0.999996,0.181381893,0.999998,-0.233212746,0.414594639
TMEM51,0.999996,0.114060088,0.999998,-0.300529785,0.414589873
FNTA,0.626177,-0.752393771,0.845039,-1.166901629,0.414507859
ICA1,0.999996,-0.43310129,0.999998,-0.847575448,0.414474158
SYNC,0.999996,-0.431418388,0.999998,-0.845837895,0.414419506
CGB5,0.046023,-0.617532093,0.06522,-1.031895648,0.414363555
NAA20,0.969494,-1.572139775,0.999998,-1.986249986,0.414110211
SRRT,0.029718,-1.709003423,0.065401,-2.122880018,0.413876595
ZFR2,0.999996,-0.95004165,0.999998,-1.363585984,0.413544334
WDR5,0.026098,0.338958843,0.065401,-0.07439984,0.413358682
CBX1,0.999996,-0.167083842,0.999998,-0.580438312,0.413354469
HPRT1,0.999996,0.098226177,0.999998,-0.315083045,0.413309222
FRMD7,0.999996,0.190454045,0.999998,-0.222766477,0.413220522
TUBA1B,0.457056,-1.025393211,0.588351,-1.438286457,0.412893246
MAGEE1,0.038769,-0.105698389,0.044704,-0.5182873,0.412588912
CPNE2,0.999996,-0.110556035,0.999998,-0.523054172,0.412498137
HSPB3,0.999996,0.461726292,0.999998,0.049451686,0.412274606
ZSCAN5B,0.999996,0.536025793,0.999998,0.123790099,0.412235694
RNF43,0.999996,0.414837779,0.999998,0.002635455,0.412202324
SF3A2,0.029961,-2.34980669,0.022933,-2.761932781,0.412126092
MON1B,0.999996,0.161364398,0.968878,-0.250674177,0.412038575
R3HCC1,0.999996,0.425657403,0.999998,0.013894002,0.411763401
OSBPL8,0.999996,-1.041552709,0.999998,-1.453160566,0.411607857
TSR1,0.037491,0.260284089,0.283427,-0.151030104,0.411314192
RPS21,0.175354,-1.552604985,0.041045,-1.963737231,0.411132246
C1orf110,0.999996,0.248814201,0.999998,-0.162284362,0.411098563
PADI1,0.999996,0.036099755,0.999998,-0.374967973,0.411067728
SCN4A,0.999996,-0.405107799,0.999998,-0.816099543,0.410991744
F11R,0.999996,-0.133070137,0.958721,-0.543978597,0.41090846
NHLRC4,0.999996,-2.071635317,0.999998,-2.482441155,0.410805837
NWD1,0.612707,-1.19337091,0.828896,-1.604037731,0.410666822
HIVEP2,0.999996,0.572988516,0.999998,0.162381966,0.41060655
BCAR3,0.999996,-0.177058564,0.999998,-0.587566757,0.410508193
EHD3,0.999996,-0.206460361,0.999998,-0.616709143,0.410248782
PLA2G4A,0.999996,0.170448619,0.999998,-0.239677083,0.410125702
MED12,0.026529,0.125281429,0.032035,-0.284829072,0.410110501
FZD7,0.999996,-0.22965813,0.999998,-0.639641036,0.409982907
GEMIN8,0.05335,-2.128804442,0.021488,-2.538670942,0.409866501
DAD1,0.766711,-1.586832043,0.795685,-1.996550895,0.409718852
SH3D21,0.999996,0.122930242,0.999998,-0.286644193,0.409574436
PRKAB1,0.999996,0.174066898,0.999998,-0.235320762,0.40938766
YTHDF1,0.999996,0.425809077,0.999998,0.0164625,0.409346576
KRTAP4-12,0.999996,-0.510298145,0.999998,-0.919591056,0.409292911
ZNF784,0.624236,-0.43157725,0.602257,-0.840809133,0.409231883
SLCO2A1,0.999996,-0.218284541,0.999998,-0.627505309,0.409220768
PFKM,0.949827,0.140740408,0.999998,-0.268456898,0.409197306
PSMB5,0.043595,-1.956150177,0.042258,-2.36529324,0.409143064
ATF6B,0.999996,-0.000696288,0.999998,-0.409772031,0.409075743
TMEM106C,0.96239,-0.228623181,0.999998,-0.637613085,0.408989904
WASF1,0.999996,-0.507346855,0.999998,-0.916276914,0.408930059
MAD1L1,0.419777,-2.36626616,0.604999,-2.775107327,0.408841167
RBMY1J,0.999996,0.311089362,0.999998,-0.097683461,0.408772823
SCEL,0.999996,0.599041275,0.999998,0.190379807,0.408661468
C6orf163,0.999996,0.348496226,0.999998,-0.059854382,0.408350609
TEX35,0.999996,0.311736549,0.999998,-0.096429189,0.408165737
SPATS2,0.773142,-0.677561728,0.758994,-1.08567689,0.408115163
GPALPP1,0.999996,0.182738041,0.999998,-0.225375025,0.408113066
HK2,0.202966,-0.536787586,0.172785,-0.944605483,0.407817897
LARP4B,0.999996,-0.735196746,0.999998,-1.14282869,0.407631945
CEP55,0.999996,-0.55371776,0.999998,-0.960998481,0.407280721
OBP2A,0.999996,0.118210876,0.999998,-0.288872939,0.407083815
TTC7B,0.999996,-0.379710638,0.999998,-0.78651833,0.406807692
PPIAL4C,0.999996,-0.23386915,0.926578,-0.640622302,0.406753152
GYS1,0.999996,0.224614148,0.999998,-0.182079163,0.406693311
MUC4,0.999996,-0.193341771,0.999998,-0.599974968,0.406633198
HIGD1B,0.999996,-0.103113212,0.793671,-0.509741231,0.406628019
WRAP73,0.620323,-0.546173492,0.955978,-0.952683821,0.406510329
ECSIT,0.999996,0.107295028,0.999998,-0.299065356,0.406360384
ATRIP,0.175354,-0.946089096,0.047424,-1.352402528,0.406313433
MRPL32,0.497886,-1.620424339,0.285076,-2.026430518,0.406006179
LINS,0.999996,0.153112161,0.999998,-0.252823283,0.405935445
KRTAP10-11,0.875866,-0.622738935,0.559885,-1.028582226,0.405843291
SPIN2A,0.999996,0.614284323,0.999998,0.208450797,0.405833526
MRPL30,0.999996,-0.598085114,0.999998,-1.003693589,0.405608475
FAM156B,0.999996,-0.008234638,0.999998,-0.413767421,0.405532783
DIDO1,0.505813,-0.484331602,0.43417,-0.889849719,0.405518117
PDHA2,0.999996,0.333754365,0.999998,-0.071653124,0.405407489
PALLD,0.96101,-1.179476415,0.999998,-1.584876272,0.405399857
PPP1R13L,0.839834,-0.230464179,0.999998,-0.635721619,0.405257439
ENHO,0.999996,-0.258131205,0.682399,-0.663322142,0.405190937
SDF2,0.999996,0.399012714,0.999998,-0.006173054,0.405185768
RBM27,0.999996,-1.050572196,0.999998,-1.455752205,0.405180009
ACTR6,0.947212,-0.971291554,0.571162,-1.376422271,0.405130717
TPSG1,0.87447,-0.287478363,0.999998,-0.692381892,0.404903529
HCRTR1,0.842384,-0.27835841,0.489274,-0.683243104,0.404884694
HMCN1,0.999996,0.357637088,0.999998,-0.047205811,0.404842899
SEPN1,0.175278,-0.947382336,0.346646,-1.352122793,0.404740457
POPDC2,0.999996,0.330165576,0.999998,-0.074484029,0.404649605
TMEM87A,0.999996,0.301582488,0.999998,-0.102723829,0.404306317
DRAP1,0.445444,-0.575585021,0.473392,-0.979852533,0.404267512
REEP1,0.999996,-0.405512019,0.999998,-0.809667094,0.404155074
FAM118B,0.999996,0.180307538,0.999998,-0.223567827,0.403875365
FOXI1,0.999996,-0.075165857,0.452082,-0.479034131,0.403868274
TGFBRAP1,0.999996,-0.356000831,0.999998,-0.759867868,0.403867037
BASP1,0.999996,-0.502731864,0.999998,-0.906532628,0.403800763
SUSD1,0.999996,0.457581794,0.999998,0.053847662,0.403734132
TMEM196,0.999996,0.319720574,0.999998,-0.083860077,0.403580652
EIF3C,0.001485,-2.070311654,0.003825,-2.473869655,0.403558001
ZAR1L,0.999996,0.43962312,0.999998,0.036181684,0.403441437
SPATA31A5,0.999996,-0.471878503,0.999998,-0.875263623,0.40338512
HAUS1,0.516724,-0.870219585,0.239037,-1.273530413,0.403310828
SS18L2,0.134955,-1.800856673,0.20798,-2.204008622,0.403151949
ZNF621,0.999996,0.210661515,0.999998,-0.192393253,0.403054768
NAAA,0.999996,0.418962995,0.999998,0.016155415,0.402807579
AGPAT3,0.999996,0.061979819,0.999998,-0.340699906,0.402679725
DNAL1,0.999996,0.706609479,0.999998,0.303994017,0.402615462
COPS4,0.552069,-1.539909636,0.465585,-1.942424288,0.402514652
NTMT1,0.999996,0.085942765,0.999998,-0.31656116,0.402503925
SESN3,0.999996,0.643672659,0.999998,0.241179528,0.402493131
PDE12,0.022916,0.591945236,0.010237,0.189798005,0.402147231
PLEKHA3,0.999996,-0.578751953,0.999998,-0.980585484,0.40183353
MMP17,0.999996,-1.049626408,0.999998,-1.451226539,0.401600131
PDGFD,0.999996,-0.040710822,0.999998,-0.442138163,0.401427341
CTSD,0.999996,-0.207301141,0.999998,-0.608575181,0.40127404
TTLL2,0.999996,0.373560116,0.999998,-0.027600327,0.401160443
RIMBP3C,0.999996,0.001005449,0.999998,-0.400137229,0.401142678
STK38,0.999996,0.175418827,0.999998,-0.225597331,0.401016158
RRP12,0.100317,-1.828845615,0.098095,-2.229762875,0.40091726
FOXK1,0.999996,0.264076087,0.999998,-0.136783975,0.400860062
C17orf80,0.999996,0.334554224,0.999998,-0.066303505,0.400857729
GCM1,0.999996,0.058886913,0.999998,-0.341932887,0.4008198
KIF18A,0.855179,-0.648181527,0.758308,-1.048939824,0.400758297
EBF1,0.999996,-0.151410987,0.938088,-0.552159718,0.400748731
RASA3,0.999996,0.159895848,0.999674,-0.240817699,0.400713547
SERAC1,0.999996,0.436396385,0.999998,0.035714252,0.400682133
GFER,0.089899,-1.884606084,0.132394,-2.285257551,0.400651467
DUT,0.285868,-1.277982729,0.220816,-1.67862411,0.400641381
ZNF837,0.999996,-0.145401229,0.999998,-0.545932764,0.400531535
DRG1,0.999996,-0.180915582,0.871205,-0.581332047,0.400416465
FHIT,0.999996,-0.229048699,0.999998,-0.629280022,0.400231324
CDH17,0.999996,0.279296783,0.999998,-0.120912587,0.400209369
AASDHPPT,0.284624,-1.220117009,0.145502,-1.620282693,0.400165684
ARID1A,0.044544,-1.023085454,0.033635,-1.423176557,0.400091103
ABCD4,0.977426,-0.681914796,0.984941,-1.081975144,0.400060348
TTLL11,0.999996,-0.09114776,0.999998,-0.491118005,0.399970245
MPLKIP,0.999996,-0.644260763,0.999998,-1.044012255,0.399751492
GPRIN2,0.999996,-0.032704501,0.999998,-0.432423737,0.399719236
GTF3C5,0.05178,-1.778784146,0.056206,-2.178463153,0.399679007
GALNT11,0.999996,0.110972803,0.999998,-0.288623209,0.399596012
CCDC117,0.999996,0.358847532,0.999998,-0.040680805,0.399528336
CADPS,0.949827,-0.198277394,0.716137,-0.597652365,0.399374971
MIER1,0.999996,0.351695576,0.999998,-0.047591827,0.399287403
SLC16A3,0.583683,-1.123565629,0.61722,-1.522694909,0.399129279
ZNF408,0.999996,-0.410725427,0.999998,-0.809715335,0.398989909
HSPA6,0.999996,0.445062258,0.999998,0.046274122,0.398788136
RPL13,0.043021,-1.551879963,0.033203,-1.950120124,0.398240161
KRT19,0.999996,-1.583537234,0.999998,-1.981738943,0.398201709
CD2AP,0.999996,-0.147553993,0.897829,-0.545724319,0.398170326
PNCK,0.999996,-0.051643409,0.999998,-0.449718132,0.398074723
CYP20A1,0.999996,0.442252179,0.999998,0.044198118,0.398054062
FAM86C1,0.999996,-0.902266967,0.999998,-1.300071498,0.397804531
SMAD7,0.538201,-0.411125892,0.645815,-0.80881457,0.397688679
RHOJ,0.999996,0.276567768,0.999998,-0.121085323,0.397653091
KCNV2,0.999996,0.277953036,0.999998,-0.119529228,0.397482264
TFIP11,0.046037,-2.070530563,0.132657,-2.467894094,0.397363531
ZNF793,0.999996,0.078074873,0.999998,-0.318848537,0.39692341
SALL4,0.999996,-0.482439147,0.752221,-0.879290325,0.396851178
MYH14,0.999996,-0.316129357,0.999998,-0.712961629,0.396832272
COX20,0.899961,-0.345630648,0.669739,-0.74244884,0.396818193
C8orf47,0.856493,-0.527027981,0.605387,-0.923730031,0.39670205
KIFC2,0.674619,-0.463718994,0.705674,-0.860115922,0.396396927
WDR7,0.019354,-1.015910466,0.05044,-1.412271896,0.396361431
CXorf21,0.999996,-0.513357764,0.999998,-0.909700648,0.396342884
OLFML2B,0.999996,-0.443484208,0.999998,-0.839769807,0.396285599
ABLIM3,0.841813,-0.481929355,0.214244,-0.878123139,0.396193784
PKM,0.192221,-1.612172997,0.043967,-2.008315661,0.396142664
ATG16L1,0.499424,-0.534946316,0.501734,-0.930956226,0.39600991
PCDP1,0.999996,-0.856263819,0.999998,-1.252247896,0.395984076
STRIP2,0.999996,0.056200209,0.958906,-0.339767411,0.395967619
CPLX2,0.471035,-0.528374411,0.633035,-0.924332049,0.395957639
ZCWPW1,0.999996,-0.823689788,0.999998,-1.21959819,0.395908403
CST5,0.999996,0.094315517,0.999998,-0.301334326,0.395649843
CTGF,0.999996,0.55486978,0.999998,0.159320407,0.395549373
PLCD4,0.999996,0.074629269,0.999998,-0.32084579,0.395475059
ID3,0.999996,0.412899004,0.999998,0.017434981,0.395464023
USP22,0.610218,-0.138060701,0.731348,-0.533080166,0.395019465
COA5,0.115067,-1.349906321,0.152524,-1.744852433,0.394946112
DAB2IP,0.740599,-0.351191877,0.759075,-0.745974959,0.394783082
RPL4,0.476969,-1.207598514,0.431406,-1.602281867,0.394683353
SPATA3,0.981486,-0.246948642,0.883564,-0.641545756,0.394597114
TRIM6,0.999996,0.145817387,0.999998,-0.24871014,0.394527527
PTCHD2,0.999996,0.359059039,0.999998,-0.035466872,0.394525912
CITED2,0.579097,-0.476618508,0.560417,-0.870872158,0.39425365
IL15RA,0.999996,0.721433477,0.955344,0.327184466,0.394249012
ARHGEF12,0.999996,0.209127292,0.999998,-0.185082631,0.394209924
40426,0.999996,0.506048766,0.999998,0.111977665,0.394071101
SMAD1,0.96101,-0.403179937,0.885681,-0.796954351,0.393774414
TOB1,0.999996,0.45388912,0.999998,0.060154891,0.393734229
RBM24,0.999996,0.111804442,0.999998,-0.281782231,0.393586673
CALCB,0.999996,-0.007023708,0.999998,-0.400558072,0.393534364
HENMT1,0.999996,0.554291466,0.999998,0.160893126,0.393398341
KRT79,0.999996,-0.722115232,0.999998,-1.115453018,0.393337786
FAM26D,0.999996,0.225450831,0.999998,-0.167798072,0.393248903
IRS1,0.999996,-0.598552206,0.958592,-0.991659052,0.393106846
COX7B2,0.999996,0.180258431,0.999998,-0.212842489,0.393100919
SYNCRIP,0.802205,-1.215849166,0.655026,-1.608891337,0.393042171
ZNF212,0.999996,0.472600335,0.999998,0.079560698,0.393039638
YIPF6,0.999996,0.470169461,0.999998,0.077157282,0.39301218
CCAR2,0.999996,-0.493077848,0.836072,-0.886020146,0.392942298
PLAT,0.999996,0.615766966,0.999998,0.222886485,0.392880481
CHD9,0.999996,-0.05228938,0.999998,-0.44516864,0.39287926
RPL18A,0.031612,-2.23465308,0.027346,-2.6274574,0.392804321
ZNF568,0.999996,0.398586737,0.999998,0.005865583,0.392721153
MFSD3,0.999996,-0.639839969,0.999998,-1.032533536,0.392693568
SACM1L,0.085583,-2.727303519,0.069633,-3.119750214,0.392446695
RDH12,0.999996,-0.91088517,0.999998,-1.303184602,0.392299432
ACBD3,0.411027,-0.829852856,0.609734,-1.22201197,0.392159114
MIS12,0.999996,-1.592275795,0.999998,-1.984313823,0.392038028
C3orf72,0.999996,0.256596856,0.999998,-0.135346497,0.391943353
PAK2,0.999996,0.436114751,0.999998,0.044258041,0.39185671
FNDC5,0.999996,-0.083813237,0.949527,-0.475572239,0.391759002
C9orf173,0.910594,-0.574963751,0.986073,-0.96669643,0.391732679
C15orf65,0.999996,0.365302604,0.999998,-0.026058607,0.391361211
ABCD1,0.735983,-0.531457473,0.377842,-0.922763367,0.391305894
PON3,0.999996,0.214122657,0.999998,-0.177119066,0.391241722
SELRC1,0.50105,-1.039018867,0.300624,-1.430161774,0.391142907
DTWD1,0.999996,0.325094743,0.999998,-0.066020818,0.391115561
SMIM19,0.999996,0.570440228,0.999998,0.179332917,0.391107312
PGBD2,0.999996,0.173086541,0.999998,-0.217893403,0.390979943
KLHL24,0.999996,0.714466274,0.999998,0.323490763,0.390975511
FCHSD1,0.999996,0.161089509,0.999998,-0.229824096,0.390913605
ARRB1,0.999996,0.488814702,0.999998,0.09795814,0.390856562
ZBED1,0.999996,0.795054284,0.999998,0.404574177,0.390480107
EPS15,0.999996,-0.31516454,0.860691,-0.705514316,0.390349776
ACSS3,0.999996,0.44889383,0.999998,0.058607266,0.390286564
NDUFAF6,0.218246,-0.612215173,0.059017,-1.002485172,0.390269998
DLEC1,0.999996,-0.429938858,0.999998,-0.820144023,0.390205165
RASA1,0.999996,-3.596823547,0.999998,-3.986989181,0.390165634
TNFRSF10B,0.999996,-0.009735173,0.999998,-0.39982856,0.390093387
PMEL,0.789615,-0.483279053,0.885681,-0.873333794,0.390054742
MAPKAPK2,0.938686,0.470165444,0.999998,0.080126505,0.39003894
XAGE1E,0.999996,0.106102744,0.999998,-0.283823161,0.389925905
UROS,0.999996,-2.063477646,0.999998,-2.453150722,0.389673076
NDE1,0.999996,0.508931751,0.999998,0.119424756,0.389506994
NDUFC2,0.208583,-0.833415227,0.296831,-1.222921027,0.389505799
POU4F3,0.999996,0.164265084,0.98294,-0.225192358,0.389457441
PRR18,0.999996,-0.069671776,0.999998,-0.458677235,0.389005458
NMB,0.999996,0.401891446,0.999998,0.012933192,0.388958254
LLGL2,0.999996,0.058790621,0.999998,-0.329774774,0.388565395
EXOC2,0.043595,-1.293994897,0.026132,-1.682529724,0.388534827
RAB7A,0.999996,0.189097846,0.999998,-0.199308892,0.388406738
ATP5G2,0.999996,0.245686165,0.999998,-0.142641455,0.38832762
UBE3A,0.999996,-0.131815968,0.999998,-0.520120266,0.388304298
ZFP36L1,0.999996,-1.266927653,0.131891,-1.654989308,0.388061655
KCNAB2,0.999996,0.374215084,0.999998,-0.013820069,0.388035153
TMEM60,0.999996,0.430038582,0.999998,0.042008501,0.388030081
FAM153B,0.991951,-0.808419688,0.763074,-1.196446267,0.388026579
AADAC,0.999996,-0.529529417,0.999998,-0.917442115,0.387912698
ACP5,0.999996,-0.238782241,0.999998,-0.626649879,0.387867638
DOCK9,0.999996,-0.315970457,0.999998,-0.703704674,0.387734217
SLC7A4,0.999996,0.089059966,0.999998,-0.298651314,0.38771128
IL17D,0.999996,-0.132065401,0.999998,-0.519599667,0.387534266
DNAJC24,0.999996,-0.089984466,0.999998,-0.477351622,0.387367156
LMNB1,0.999996,-0.578836105,0.999998,-0.96614338,0.387307274
TXNIP,0.999996,0.056167679,0.999998,-0.331128798,0.387296477
ORC3,0.133217,-0.542246834,0.135364,-0.92946333,0.387216496
KRTAP12-3,0.777648,-0.258302287,0.293517,-0.645488777,0.38718649
CGB8,0.050248,-0.679641237,0.043145,-1.066696477,0.38705524
SLC23A3,0.560317,-0.963682389,0.706949,-1.350725375,0.387042986
MBTD1,0.999996,-1.433679845,0.999998,-1.82070847,0.387028625
GSDMC,0.999996,-0.073212896,0.999998,-0.4600685,0.386855604
ZBTB7C,0.999996,-0.506891715,0.999998,-0.893504624,0.38661291
ADAMTSL5,0.51701,-0.637789749,0.999998,-1.024213394,0.386423645
PPP1R1C,0.999996,0.514759093,0.999998,0.128358306,0.386400787
TIFAB,0.96101,-0.314603888,0.421013,-0.700988722,0.386384834
CCZ1,0.999996,-0.056956253,0.962879,-0.443276352,0.386320099
SPG20,0.999996,0.477196779,0.999998,0.09092428,0.386272499
ZMIZ2,0.999996,-0.155032343,0.999998,-0.54115768,0.386125338
CCDC64,0.999996,-0.684898719,0.999998,-1.071004555,0.386105836
FXYD5,0.999996,-0.248526659,0.999998,-0.634562156,0.386035497
GRINA,0.999996,-0.085472764,0.999998,-0.4714119,0.385939135
FAM134C,0.999996,-0.111248751,0.550869,-0.497137381,0.38588863
IFNA6,0.999996,0.393705595,0.999998,0.008044262,0.385661333
AGXT,0.999996,-0.973179158,0.999998,-1.358705206,0.385526048
RBMX2,0.999996,-1.450432317,0.999998,-1.835843402,0.385411085
C3orf84,0.999996,0.488404467,0.999998,0.103167257,0.38523721
CCNB3,0.999996,0.086059856,0.999998,-0.299047685,0.385107541
PTGR2,0.999996,0.098089192,0.999998,-0.287000862,0.385090054
DNAJC11,0.022158,-2.799243912,0.05743,-3.184313494,0.385069582
TMEM104,0.999996,0.518017399,0.999998,0.133023238,0.384994161
CARD9,0.999996,0.062659088,0.999998,-0.322179881,0.384838969
ANKRD20A2,0.326209,-1.231843292,0.34955,-1.616666915,0.384823623
DAPP1,0.999996,0.690716893,0.999998,0.306003757,0.384713137
MRPS15,0.751727,-2.065479972,0.636158,-2.449946654,0.384466682
TTC7A,0.886934,-0.189203387,0.516841,-0.573587241,0.384383854
DUSP10,0.999996,-0.083953501,0.999998,-0.468293875,0.384340374
MSANTD1,0.999996,-0.236673083,0.999998,-0.620972634,0.384299551
CFHR5,0.999996,0.484661795,0.999998,0.100468869,0.384192926
TVP23B,0.999996,0.50563851,0.999998,0.121452561,0.384185949
TXN,0.182754,-0.504710221,0.139024,-0.888838653,0.384128432
ANKHD1-EIF4EBP3,0.977545,-0.283325081,0.999998,-0.667321968,0.383996887
PRAMEF6,0.999996,0.070646959,0.999998,-0.313307827,0.383954786
PDZD9,0.999996,0.148386519,0.999998,-0.235513811,0.38390033
BUB1B,0.610449,-2.168315666,0.623761,-2.552200262,0.383884596
STX12,0.999996,0.389393857,0.999998,0.005602627,0.38379123
DIP2C,0.999996,0.145505003,0.999998,-0.23823595,0.383740953
IL18BP,0.999996,0.462239525,0.999998,0.078499849,0.383739676
HDAC8,0.999996,0.42058151,0.999998,0.036923656,0.383657855
RPL9,0.075606,-3.849661669,0.113769,-4.233253031,0.383591362
CCL14,0.999996,0.031820349,0.999998,-0.351611101,0.38343145
EIF3G,0.03857,-2.270121835,0.037413,-2.653529309,0.383407475
PEAK1,0.999996,-0.164438511,0.999998,-0.547795648,0.383357136
TTK,0.999996,-1.542253027,0.710783,-1.925518273,0.383265246
RPP21,0.002338,-2.651943553,0.004174,-3.035098619,0.383155066
SMIM7,0.525363,-0.543288227,0.595455,-0.926396849,0.383108622
UNG,0.999996,-0.2163086,0.999998,-0.599174693,0.382866093
LAMB4,0.999996,0.212553906,0.999998,-0.170103669,0.382657575
LAMTOR4,0.999996,-0.413086456,0.999998,-0.795438107,0.38235165
ACSF2,0.857753,-0.802630101,0.89829,-1.184937325,0.382307224
40240,0.999996,-0.377097038,0.95315,-0.759399501,0.382302463
MAP1LC3A,0.999996,-0.045433742,0.999998,-0.427700616,0.382266875
PRAMEF16,0.426822,-1.195984385,0.495337,-1.578245382,0.382260998
COL15A1,0.999996,-0.248886082,0.768597,-0.631128258,0.382242176
GSTM1,0.999996,0.867206336,0.999998,0.484972931,0.382233405
C19orf54,0.384797,-0.701232109,0.440125,-1.083408318,0.382176209
CCZ1B,0.999996,-0.22158545,0.581246,-0.603735807,0.382150358
GCAT,0.999996,0.13553409,0.999998,-0.246616125,0.382150215
